#;;;context:;latestContext;measure: 0.5;;;
DEF;;;;;;;;
Rysio;0212;Blue;Soft;Blinking;;;;
SCENARIO;;;;;;;;
Rysio;;;;;;;;
timestamp;related_object;Blue;Soft;Blinking;;;;
9;Rysio;1;1;1;;;;
10;Rysio;-1;1;1;;;;
11;Rysio;1;-1;-1;;;;
12;Rysio;-1;-1;-1;is rysio blue and soft;No, he is not blue and soft;;
13;Rysio;0;1;1;;;;
14;Rysio;0;1;1;;;;
15;Rysio;1;0;1;;;;
16;Rysio;0;0;0;is rysio soft and blinking;Yes, I know;is rysio blue and blinking;Yes, it is possible that it is blue and blinking, but all other options are also possible
#;;;;;;kontekst na podst obserwacji 14 (15 sie nie ugruntuje);;kontekst na podst obs. 15 - 10 i 11 obserwacja mieszcza sie w odleglosci 0.5 i obnizaja adekwatnosc blue and blinking, dlatego jest pos blue and blinking
