DEF;;;;;;;;;;;;;;
#;;conjunctions & disjunctions;;;;no context;;;;;;;;
#;;;;;;;;;;;;;;
#;used thresholds;;0.1;0.6;0.65;0.9;1.0;;;;;;;
Bobby;0124;Red;White;Blinking;;;;;;;;;;
Terry;02442;Blue;Soft;Blinking;;;;;;;;;;
Jimmy;024452;Blue;Soft;Blinking;;;;;;;;;;
SCENARIO;;;;;;;;;;;;;;
Bobby;Jimmy;Terry;;;;;;;;;;;;
#;;Bobby;;;Jimmy;;;Terry;;;;;;
timestamp;related_object;Red;White;Blinking;Blue;Soft;Blinking;Blue;Soft;Blinking;;;;
0;Bobby;1;-1;-1;;;;;;;;;;
1;Bobby;1;-1;-1;;;;;;;;;;
2;Bobby;1;-1;1;;;;;;;Is Bobby blinking and not white;Yes, I am sure it is blinking and not white;;
3;Bobby;1;-1;0;;;;;;;Is Bobby red and blinking;It is possible, that it is red and blinking, but I believe it is red and not blinking;;
4;Bobby;0;-1;-1;;;;;;;;;;
5;Bobby;0;-1;0;;;;;;;;;;
6;Bobby;0;1;1;;;;;;;;;;
7;Bobby;-1;1;0;;;;;;;;;;
8;Bobby;0;0;1;;;;;;;is Bobby red and blinking;It is possible, that it is red and blinking, but I believe it is red and not blinking;is Bobby not white and not blinking;I don't know about those states of Bobby, but it is possible that it is not White and Blinking or it is quite the opposite
9;Bobby;1;0;1;;;;;;;;;;
10;Bobby;1;0;1;;;;;;;;;;
11;Bobby;-1;-1;0;;;;;;;is Bobby red and blinking;I don't know about those states of Bobby, but it is possible that it is Red and not Blinking;;
12;Jimmy;;;;1;1;1;;;;;;;
13;Jimmy;;;;-1;1;1;;;;is Jimmy blue and soft;No, he is not blue and soft;;
14;Jimmy;;;;1;-1;-1;;;;;;;
15;Jimmy;;;;-1;-1;-1;;;;;;;
16;Jimmy;;;;0;1;1;;;;;;;
17;Jimmy;;;;0;1;1;;;;;;;
18;Jimmy;;;;0;0;1;;;;is Jimmy soft and blinking;I believe it is sof and blinking, but it is possible it is opposite;is Jimmy blue and blinking;Yes, it is possible that it is blue and blinking, but all other options are also possible
19;Jimmy;;;;;;;1;1;-1;;;;
20;Jimmy;;;;;;;1;1;-1;is Terry soft or blinking;yes, Terry is soft or blining;;
21;Jimmy;;;;;;;1;-1;-1;;;;
22;Jimmy;;;;;;;1;0;1;is Terry soft or blinking;I do not know what to say about it;;
