#komentarz;;;;;;;;;;;;;;
DEF;;;;;;;;;;;;;;
Hyzio;0124;Red;White;Blinking;;;;;;;;;;
Dyzio;0242;Blue;Soft;Blinking;;;;;;;;;;
Rysio;0212;Blue;Soft;Blinking;;;;;;;;;;
Zyzio;0252;Blue;Soft;Blinking;;;;;;;;;;
SCENARIO;;;;;;;;;;;;;;
Hyzio;Rysio;Zyzio;;;;;;;;;;;;
timestamp;related_object;Red;White;Blinking;Blue;Soft;Blinking;Blue;Soft;Blinking;;;;
9;Rysio;;;;1;1;1;;;;;;;
10;Rysio;;;;-1;1;1;;;;;;;
11;Rysio;;;;1;-1;-1;;;;;;;
12;Rysio;;;;-1;-1;-1;;;;is rysio blue and soft;No, he is not blue and soft;;
13;Rysio;;;;0;1;1;;;;;;;
14;Rysio;;;;0;1;1;;;;;;;
15;Rysio;;;;1;0;1;;;;is rysio soft and blinking;I believe it is sof and blinking, but it is possible it is opposite;is rysio blue and blinking;Yes, it is possible that it is blue and blinking, but all other options are also possible
